text,intent
I need to book a flight to New York,order flight
Can you help me find a taxi?,order taxi
I want to reserve a hotel room,order hotel
Book a flight to London,order flight
Can you order a taxi for me?,order taxi
I need to check in to my hotel,order hotel
I want to fly to Paris on the 3rd of June,order flight
Can you arrange a taxi to the airport?,order taxi
I need to find a hotel in Tokyo,order hotel
I'd like to book a one-way flight to Miami,order flight
I need a ride to the train station,order taxi
I want to stay at a 5-star hotel,order hotel
I'm looking for a flight to Sydney,order flight
Can you send a taxi to pick me up?,order taxi
I need to make a hotel reservation,order hotel
Please book a flight to Rome,order flight
How do I order a taxi?,order taxi
I need to find a hotel near the airport,order hotel
Book a flight to Los Angeles,order flight
Can you call me a taxi?,order taxi
I want to stay at a hotel with a pool,order hotel
I need to fly to Beijing for a business trip,order flight
Can you book a taxi for me?,order taxi
I want to find a cheap hotel in Paris,order hotel
I need to book a round-trip flight to Tokyo,order flight
Can you reserve a taxi for tomorrow morning?,order taxi
I need to find a hotel in the city center,order hotel
I'd like to book a flight to New Zealand,order flight
Can you pick me up from the airport?,order taxi
I want to stay at a hotel with a gym,order hotel
Book a flight to Barcelona,order flight
Can you take me to the train station?,order taxi
I need to book a hotel for my vacation,order hotel
I'm looking for a direct flight to Chicago,order flight
Can you order a taxi for later today?,order taxi
I want to stay at a hotel with a view,order hotel
Please find me a flight to Amsterdam,order flight
How much does a taxi cost?,order taxi
I need to find a hotel that allows pets,order hotel
I want to fly to Hawaii for my honeymoon,order flight
Can you pick me up at my hotel?,order taxi
I need to book a hotel for my wedding,order hotel
Book a flight to Bangkok,order flight
Can you drive me to the airport?,order taxi
I want to stay at a hotel with a spa,order hotel
I need to travel to Shanghai for a conference,order flight
Can you take me to the bus station?,order taxi
I need to find a hotel with a restaurant,order hotel
I'd like to book a flight to Australia,order flight
Can you call a taxi for me?,order taxi
I want to stay at a hotel near the beach,order hotel
I need to book a flight to San Francisco,order flight
Can you order a taxi for me in an hour?,order taxi
I want to find a hotel with a bar,order hotel
Please reserve a flight to Dubai,order flight
How long will it take for a taxi to arrive?,order taxi
I need to find a hotel that offers free breakfast,order hotel
I'd like to fly to London for the weekend,order flight
Can you pick me up from my office,order taxi
I need to book a hotel for my family vacation,order hotel
Book a flight to Cancun,order flight
Can you take me to the airport at 6am?,order taxi
I want to stay at a hotel with a rooftop bar,order hotel
I need to travel to Madrid for a job interview,order flight
Can you arrange a taxi for a group of 5 people?,order taxi
I need to find a hotel with a pool and a beach,order hotel
I'd like to book a round-trip flight to Paris,order flight
Can you pick me up from my friend's house?,order taxi
I want to stay at a hotel near the city's attractions,order hotel
Please book a flight to Hong Kong,order flight
How do I pay for the taxi?,order taxi
I need to find a hotel with a good view of the city,order hotel
I want to fly to Las Vegas for a weekend getaway,order flight
Can you order a taxi for me at 7pm?,order taxi
I need to book a hotel for a business trip,order hotel
Book a flight to Sydney with a layover in Tokyo,order flight
Can you drive me to my doctor's appointment?,order taxi
I want to stay at a hotel with a jacuzzi,order hotel
I need to travel to Berlin for a family reunion,order flight
Can you take me to the airport from my hotel?,order taxi
I need to find a hotel with a meeting room,order hotel
I'd like to book a flight to Paris in business class,order flight
Can you call a taxi for me in 10 minutes?,order taxi
I want to stay at a hotel near the shopping district,order hotel
Please reserve a flight to New Delhi,order flight
How much time do I have to wait for the taxi?,order taxi
I need to find a hotel with a kid's club,order hotel
